t,x1,y1,x2,y2,segmentationfailed
6,3803.3633818626404,2188.072483062744,3803.363379716873,2188.0724868774414,1
6,3806.229368209839,2284.906723022461,3806.280613899231,2284.969711303711,1
6,3806.5079078674316,2286.1673431396484,3806.5078473091125,2286.1670989990234,1
6,3806.5079078674316,2286.1673431396484,3806.5078473091125,2286.1670989990234,1
6,3806.987443447113,2287.3309783935547,3806.987443447113,2287.3309783935547,1
6,3807.669581413269,2228.527214050293,3807.184878349304,2227.5779876708984,1
6,3808.58397769928,2287.157730102539,3808.58397769928,2287.157730102539,1
6,3809.596025466919,2277.201126098633,3808.5960302352905,2277.201126098633,1
6,3810.759949684143,2289.0642700195312,3810.2273321151733,2289.0702362060547,1
6,3810.9070749282837,2275.3852615356445,3809.9070749282837,2275.3852615356445,1
6,3812.4505653381348,2235.896255493164,3812.308955192566,2235.915687561035,1
6,3812.498438835144,2276.290969848633,3811.498438835144,2276.290969848633,1
6,3812.6807527542114,2277.069465637207,3811.680932998657,2277.069534301758,1
6,3812.9160232543945,2287.157745361328,3811.9160232543945,2287.157745361328,1
6,3813.7519912719727,2268.627975463867,3813.708599090576,2268.606086730957,1
6,3813.9244089126587,2275.1652450561523,3812.9244089126587,2275.1652450561523,1
6,3814.51255607605,2287.3309783935547,3813.51255607605,2287.3309783935547,1
6,3814.6743688583374,2229.996597290039,3814.2905502319336,2229.735824584961,1
6,3814.7605504989624,2288.102264404297,3813.7597522735596,2288.102264404297,1
6,3814.9575595855713,2269.897018432617,3814.943105697632,2269.8213119506836,1
6,3814.9939680099487,2286.1652069091797,3813.9939680099487,2286.1652069091797,1
6,3817.258939743042,2238.306709289551,3817.0124168395996,2235.1797409057617,1
6,3817.3498821258545,2234.0239486694336,3817.0124168395996,2235.1797409057617,1
6,3818.202344894409,2268.2221450805664,3818.376163482666,2267.780975341797,1
6,3819.0161170959473,2231.6752548217773,3819.07533454895,2232.99698638916,1
6,3819.5944328308105,2226.5579223632812,3819.6686992645264,2226.0957565307617,1
6,3820.244791030884,2183.9772624969482,3820.4758434295654,2183.576126098633,1
6,3820.798858642578,2281.151580810547,3820.0200157165527,2282.956367492676,1
6,3821.9228534698486,2257.19051361084,3821.8891639709473,2257.0825576782227,1
6,3823.101249694824,2276.177993774414,3823.100564956665,2276.134407043457,1
6,3823.160301208496,2286.5816955566406,3823.1985244750977,2287.620407104492,1
6,3826.118194580078,2286.5447387695312,3826.118589401245,2287.544647216797,1
6,3826.5831813812256,2278.3047637939453,3826.454086303711,2277.5461196899414,1
6,3828.4343185424805,2213.8601150512695,3831.6905250549316,2215.005344390869,1
6,3834.7419967651367,2228.2641067504883,3835.2006492614746,2226.644027709961,1
6,3834.9892807006836,2290.077682495117,3834.9892807006836,2290.077682495117,1
6,3834.9892807006836,2290.077682495117,3834.9892807006836,2290.077682495117,1
6,3835.1920433044434,2177.2165298461914,3837.0022583007812,2182.948268890381,1
6,3836.1023139953613,2242.701904296875,3836.2668495178223,2241.9084243774414,1
6,3836.244255065918,2287.927536010742,3836.244255065918,2287.927536010742,1
6,3836.2485733032227,2276.9085006713867,3836.2485733032227,2276.9085006713867,1
6,3836.2485733032227,2279.5914993286133,3836.2485733032227,2279.5914993286133,1
6,3836.570079803467,2179.731527328491,3837.0022583007812,2182.948268890381,1
6,3836.7293548583984,2225.9964447021484,3835.2006492614746,2226.644027709961,1
6,3837.9148559570312,2278.262550354004,3837.9148559570312,2278.262535095215,1
6,3838.6100578308105,2188.9165382385254,3843.478302001953,2185.3731651306152,1
